frame,id,x,y,width,height,xVelocity,yVelocity,xAcceleration,yAcceleration,laneId
0,323,0.0,100.0,4.0,2.0,0.0,0.0,0.0,0.0,5
1,323,0.003312913040900445,100.0,4.0,2.0,0.08240871189239857,0.0,2.049916708323414,0.0,5
2,323,0.010018604511270903,100.0,4.0,2.0,0.16680407532546512,0.0,2.0993346653975307,0.0,5
3,323,0.020195335768847814,100.0,4.0,2.0,0.2531461900322257,0.0,2.1477601033306697,0.0,5
4,323,0.03391898217891777,100.0,4.0,2.0,0.34137570445049004,0.0,2.1947091711543254,0.0,5
5,323,0.0512622749927486,100.0,4.0,2.0,0.43141440874404186,0.0,2.2397127693021015,0.0,5
6,323,0.07229407464096849,100.0,4.0,2.0,0.5231660162494697,0.0,2.2823212366975176,0.0,5
7,323,0.09707868270290536,100.0,4.0,2.0,0.6165171255406796,0.0,2.3221088436188455,0.0,5
8,323,0.1256751994264615,100.0,4.0,2.0,0.711338353498459,0.0,2.3586780454497616,0.0,5
9,323,0.15813693321797248,100.0,4.0,2.0,0.8074856280638355,0.0,2.3916634548137417,0.0,5
10,323,0.19451086800223244,100.0,4.0,2.0,0.9048016277584666,0.0,2.4207354924039484,0.0,5
11,323,0.23483719377464843,100.0,4.0,2.0,1.0031173535888473,0.0,2.4456036800307177,0.0,5
12,323,0.2791489050360912,100.0,4.0,2.0,1.1022538176283896,0.0,2.4660195429836134,0.0,5
13,323,0.3274714711227493,100.0,4.0,2.0,1.2020238314056197,0.0,2.4817790927085963,0.0,5
14,323,0.37982258172494054,100.0,4.0,2.0,1.3022338762295083,0.0,2.49272486499423,0.0,5
15,323,0.43621197013757435,100.0,4.0,2.0,1.4026860367642633,0.0,2.498747493302027,0.0,5
16,323,0.4966413160082855,100.0,4.0,2.0,1.5031799785339417,0.0,2.4997868015207527,0.0,5
17,323,0.5611042285549512,100.0,4.0,2.0,1.6035149495983128,0.0,2.4958324052262344,0.0,5
18,323,0.6295863104202734,100.0,4.0,2.0,1.7034917863998846,0.0,2.4869238154390976,0.0,5
19,323,0.7020653015254124,100.0,4.0,2.0,1.8029149037403351,0.0,2.4731500438437073,0.0,5
20,323,0.7785113014853386,100.0,4.0,2.0,1.901594249003163,0.0,2.454648713412841,0.0,5
21,323,0.8588870683635941,100.0,4.0,2.0,1.9993472010966076,0.0,2.4316046833244367,0.0,5
22,323,0.9431483907814125,100.0,4.0,2.0,2.0960003951432324,0.0,2.404248201909795,0.0,5
23,323,1.0312445296632002,100.0,4.0,2.0,2.191391454684473,0.0,2.37285260608836,0.0,5
24,323,1.1231187252046086,100.0,4.0,2.0,2.2853706140925363,0.0,2.3377315902755753,0.0,5
25,323,1.218708763997736,100.0,4.0,2.0,2.377802214979048,0.0,2.299236072051978,0.0,5
26,323,1.3179476006469355,100.0,4.0,2.0,2.4685660616488265,0.0,2.257750685910732,0.0,5
